3/12/2012,Portland Timbers,3,1,Philadelphia Union
3/18/2012,Philadelphia Union,1,2,Colorado Rapids
3/24/2012,Chicago Fire,1,0,Philadelphia Union
3/31/2012,Philadelphia Union,0,0,Vancouver Whitecaps FC
4/14/2012,Philadelphia Union,1,0,Columbus Crew
4/21/2012,Chivas USA,0,1,Philadelphia Union
4/28/2012,Philadelphia Union,1,2,San Jose
5/5/2012,Seattle Sounders FC,1,0,Philadelphia Union
5/13/2012,Philadelphia Union,2,3,New York Red Bulls
5/19/2012,FC Dallas,1,1,Philadelphia Union
5/26/2012,Toronto FC,1,0,Philadelphia Union
6/16/2012,Philadelphia Union,0,1,D.C. United
6/23/2012,Philadelphia Union,4,0,Sporting Kansas City
6/30/2012,Houston Dynamo,2,1,Philadelphia Union
7/4/2012,Los Angeles Galaxy,1,2,Philadelphia Union
7/8/2012,Philadelphia Union,3,0,Toronto FC
7/14/2012,Philadelphia Union,2,1,Montreal Impact
7/21/2012,New York Red Bulls,2,0,Philadelphia Union
7/29/2012,Philadelphia Union,2,1,New England Revolution
8/4/2012,Montreal Impact,2,0,Philadelphia Union
8/12/2012,Philadelphia Union,1,3,Chicago Fire
8/19/2012,D.C. United,1,1,Philadelphia Union
8/24/2012,Philadelphia Union,0,0,Real Salt Lake
8/29/2012,Philadelphia Union,1,2,Columbus Crew
9/1/2012,New England Revolution,0,0,Philadelphia Union
9/15/2012,Toronto FC,1,1,Philadelphia Union
9/20/2012,Philadelphia Union,0,1,D.C. United
9/23/2012,Philadelphia Union,3,1,Houston Dynamo
9/29/2012,Columbus Crew,3,2,Philadelphia Union
10/3/2012,Chicago Fire,1,3,Philadelphia Union
10/6/2012,Philadelphia Union,1,0,New England Revolution
10/20/2012,Houston Dynamo,3,1,Philadelphia Union
10/24/2012,Sporting Kansas City,2,1,Philadelphia Union
10/27/2012,Philadelphia Union,0,3,New York Red Bulls
 
