03/10/2012,Vancouver Whitecaps,2,0,Montreal Impact
03/17/2012,Chivas USA,0,1,Vancouver Whitecaps
03/24/2012,Vancouver Whitecaps,0,0,D.C. United
03/31/2012,Philadelphia Union,0,0,Vancouver Whitecaps
04/07/2012,San Jose Earthquakes,3,1,Vancouver Whitecaps
04/18/2012,Vancouver Whitecaps,1,3,Sporting Kansas City
04/21/2012,Vancouver Whitecaps,1,0,FC Dallas
04/28/2012,Columbus Crew,0,1,Vancouver Whitecaps
05/02/2012,Canadian Championship Completed FC Edmonton,0,2,Vancouver Whitecaps
05/05/2012,Vancouver Whitecaps,2,1,San Jose Earthquakes
05/09/2012,Canadian Championship Completed Vancouver Whitecaps,3,1,FC Edmonton
05/12/2012,New England Revolution,4,1,Vancouver Whitecaps
05/16/2012,Canadian Championship Completed Vancouver Whitecaps,1,1,Toronto FC
05/19/2012,Vancouver Whitecaps,2,2,Seattle Sounders FC
05/23/2012,Canadian Championship Completed Toronto FC,1,0,Vancouver Whitecaps
05/26/2012,Portland Timbers,1,1,Vancouver Whitecaps
06/10/2012,Vancouver Whitecaps,3,1,Houston Dynamo
06/16/2012,Vancouver Whitecaps,1,0,Colorado Rapids
06/20/2012,Vancouver Whitecaps,1,1,New York Red Bulls
06/23/2012,Los Angeles Galaxy,3,0,Vancouver Whitecaps
07/04/2012,Colorado Rapids,0,1,Vancouver Whitecaps
07/07/2012,Chivas USA,0,0,Vancouver Whitecaps
07/11/2012,Toronto FC,3,2,Vancouver Whitecaps
07/14/2012,Chicago Fire,1,0,Vancouver Whitecaps
07/18/2012,Vancouver Whitecaps,2,2,Los Angeles Galaxy
07/22/2012,Vancouver Whitecaps,2,1,San Jose Earthquakes
07/27/2012,Real Salt Lake,2,1,Vancouver Whitecaps
08/11/2012,Vancouver Whitecaps,2,1,Real Salt Lake
08/15/2012,Vancouver Whitecaps,0,2,FC Dallas
08/18/2012,Seattle Sounders FC,2,0,Vancouver Whitecaps
08/25/2012,Portland Timbers,2,1,Vancouver Whitecaps
09/01/2012,Los Angeles Galaxy,2,0,Vancouver Whitecaps
09/15/2012,FC Dallas,1,0,Vancouver Whitecaps
09/23/2012,Vancouver Whitecaps,2,2,Colorado Rapids
09/29/2012,Vancouver Whitecaps,0,0,Seattle Sounders FC
10/03/2012,Vancouver Whitecaps,4,0,Chivas USA
10/21/2012,Vancouver Whitecaps,0,1,Portland Timbers
10/27/2012,Real Salt Lake,0,0,Vancouver Whitecaps
11/01/2012,Los Angeles Galaxy,2,1,Vancouver Whitecaps
 
