"","pingPong"
"1",2
"2",3
"3",1
"4",1
"5",5
"6",2
"7",1
"8",1
"9",1
"10",3
"11",1
"12",2
"13",1
"14",2
"15",2
"16",3
"17",4
"18",3
"19",3
"20",3
"21",1
"22",4
"23",4
"24",4
"25",3
"26",3
"27",3
"28",4
"29",2
"30",2
"31",1
"32",4
"33",3
"34",2
"35",5
"36",2
"37",2
"38",1
"39",3
"40",3
"41",2
"42",3
"43",5
"44",2
"45",3
"46",3
"47",3
"48",1
"49",2
"50",2
"51",1
"52",2
"53",2
"54",1
"55",2
"56",3
"57",5
"58",5
"59",4
"60",1
"61",3
"62",3
"63",3
"64",2
"65",4
"66",3
"67",4
"68",1
"69",3
"70",NA
"71",4
"72",5
"73",1
"74",3
"75",4
"76",1
"77",3
"78",2
"79",2
"80",2
"81",3
"82",2
"83",4
"84",3
"85",1
"86",3
"87",2
"88",2
"89",4
"90",2
"91",2
"92",2
"93",3
"94",1
